GAID,PlatformName,OtherName,Owner,Operator,PlatformType,LocationName,State,Latitude,Longitude,SpatialConfidence,Photo,Source,SourceDate,Comments
33,Dolphin,,,ESSO Australia P/L,Unmanned,Bass Strait,VIC,-38.48735667,147.3774792,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
This Platform is part of the Bass Strait Network Plan."
34,Flounder,,,ESSO Australia P/L,Manned ,Bass Strait,VIC,-38.31086361,148.4393481,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
This Platform is part of the Bass Strait Network Plan."
35,Fortescue,,,ESSO Australia P/L,Manned ,Bass Strait,VIC,-38.407075,148.2780467,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
This Platform is part of the Bass Strait Network Plan."
36,Halibut,,,ESSO Australia P/L,Manned ,Bass Strait,VIC,-38.40413278,148.3200711,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
This Platform is part of the Bass Strait Network Plan."
37,Kingfish A,,,ESSO Australia P/L,Manned ,Bass Strait,VIC,-38.59598472,148.1445733,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
This Platform is part of the Bass Strait Network Plan."
38,Kingfish B,,,ESSO Australia P/L,Manned ,Bass Strait,VIC,-38.59695639,148.1877364,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
This Platform is part of the Bass Strait Network Plan."
39,Mackerel,,,ESSO Australia P/L,Manned ,Bass Strait,VIC,-38.47905889,148.3426153,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
This Platform is part of the Bass Strait Network Plan."
40,Marlin,,,ESSO Australia P/L,Manned ,Bass Strait,VIC,-38.23030861,148.2207061,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
This Platform is part of the Bass Strait Network Plan."
41,Marlin B,,,ESSO Australia P/L,Manned ,Bass Strait,VIC,-38.22944444,148.2211111,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
This Platform is part of the Bass Strait Network Plan."
42,Perch,,,ESSO Australia P/L,Unmanned,Bass Strait,VIC,-38.56929639,147.3226003,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
This Platform is part of the Bass Strait Network Plan."
43,Snapper,,,ESSO Australia P/L,Manned ,Bass Strait,VIC,-38.19380639,148.0253539,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
This Platform is part of the Bass Strait Network Plan."
44,Tuna,,,ESSO Australia P/L,Manned ,Bass Strait,VIC,-38.16965278,148.4194256,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
This Platform is part of the Bass Strait Network Plan."
45,West Kingfish,,,ESSO Australia P/L,Manned ,Bass Strait,VIC,-38.59297083,148.1053678,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
This Platform is part of the Bass Strait Network Plan."
46,West Tuna,,,ESSO Australia P/L,Manned ,Bass Strait,VIC,-38.19191028,148.3885447,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
This Platform is part of the Bass Strait Network Plan."
47,Whiting,,,ESSO Australia P/L,Unmanned,Bass Strait,VIC,-38.23998361,147.8735681,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
This Platform is part of the Bass Strait Network Plan."
48,Modec Venture 11,MV11,,MODEC Management Services P/L,Manned ,North West Shelf,WA,-19.27595833,116.6126722,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
"
49,Yolla A,,,ORIGIN Energy Resource Limited,Manned ,Bass Strait,VIC,-39.84458028,145.8184,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
"
50,Thylacine A,,,ORIGIN Energy Resource Limited,Manned ,Bass Strait,VIC,-39.23734861,142.9021111,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
"
51,Montara Venture,,,PTTEP Australasia P/L,Normally Unmanned,North West Shelf,WA,-12.67236111,124.5395278,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
"
52,Dampier Spirit,DS,TEEKAY Shipping (Australia) P/L,TEEKAY Shipping (Australia) P/L,Manned ,North West Shelf,WA,-20.27191556,116.2761886,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
"
53,Wandoo B,,,VERMILLION Oil and Gas Australia (VOGA),Manned ,North West Shelf,WA,-20.12861111,116.4344444,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
"
54,Angel,,,WOODSIDE Energy Limited (WEL),Normally Unmanned,North West Shelf,WA,-19.49861111,116.5980556,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
"
55,Goodwyn Alpha,GWA,,WOODSIDE Energy Limited (WEL),Manned ,North West Shelf,WA,-19.65222222,115.9297222,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
"
56,Nganhurra,,,WOODSIDE Energy Limited (WEL),Manned ,North West Shelf,WA,-21.48164722,114.0081028,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
"
57,Ngujima-Yin,NY,,WOODSIDE Energy Limited (WEL and MAERSK),Manned ,North West Shelf,WA,-21.43399972,114.0670506,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
"
58,North Rankin Complex ,NRC,,WOODSIDE Energy Limited (WEL),Manned ,North West Shelf,WA,-19.58423,116.1380728,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
"
59,Northern Endeavour,NE,,WOODSIDE Energy Limited (WEL),Manned ,Timor Sea,West Timor,-10.61444444,125.9855556,3,Internal GA Use Only,Office of Transport Security (OTS) - Operators of Australian Security Regulated Offshore Facilities Spreadsheet - Version 2.,18/12/2013,"GA sourced the information about this facility on 18 September 2014 directly from OTS.
This facility is administered by the Northern Territory Department of Business, Industry and Resources Development (NTDBIRD)  
"
